UNIT_ID,UNIT_NAME,Latitude,Longitude,,,,,,,,,,,,,
AEU,Cameron Park Fire Departemnt FS Station 89,38.662182,-120.684741,,,,,,,,,,,,,
AFV,Alpine Fire Protection District,32.835800,-116.766400,,,,,,,,,,,,,
ANF,Angeles National Forest,34.330000,-118.000000,,,,,,,,,,,,,
APF,Arrowhead Protection Forest,34.240000,-117.180000,,,,,,,,,,,,,
APV,Apple Valley Fire Protection District,34.500800,-117.185900,,,,,,,,,,,,,
BBD,Big Bear Fire Department,34.243900,-116.911400,,,,,,,,,,,,,
BDF,San Bernardino National Forest,34.200000,-116.900000,,,,,,,,,,,,,
BDU,SAN BERNARDINO COUNTY FIRE,34.690680,-117.412998,,,,,,,,,,,,,
BEA,Bear Valley Fire Department,35.160000,-118.680000,,,,,,,,,,,,,
BEU,Pebble Beach FS,36.432387,-121.390116,,,,,,,,,,,,,
BNP,Banning Pass Fire Department,33.925600,-116.876400,,,,,,,,,,,,,
BRR,Barstow Fire Protection District,34.895800,-117.017300,,,,,,,,,,,,,
BTU,Bangor FS,39.713294,-121.543737,,,,,,,,,,,,,
CCD,Central California District,36.778300,-119.417900,,,,,,,,,,,,,
CDD,California Desert District,34.500000,-115.500000,,,,,,,,,,,,,
CLR,Clear Lake Region,39.000000,-122.800000,,,,,,,,,,,,,
CND,Central Nevada District,38.500000,-117.000000,,,,,,,,,,,,,
CNF,Cleveland National Forest,33.400000,-116.700000,,,,,,,,,,,,,
CNP,California National Parks,36.778300,-119.417900,,,,,,,,,,,,,
CRA,Crane Valley Fire Department,37.330000,-119.560000,,,,,,,,,,,,,
CRB,Crescent Bay Fire Department,41.950000,-124.150000,,,,,,,,,,,,,
CRD,Central Ridge District,35.500000,-120.500000,,,,,,,,,,,,,
CZU,Half Moon Bay FS,37.185634,-122.146862,,,,,,,,,,,,,
DBR,Diablo Range Fire Department,37.500000,-121.500000,,,,,,,,,,,,,
DLR,Del Norte Fire Department,41.750000,-124.200000,,,,,,,,,,,,,
DVP,Desert View Fire Protection District,33.678400,-116.237600,,,,,,,,,,,,,
ENF,Eldorado National Forest,38.742600,-120.435800,,,,,,,,,,,,,
ESR,Eastern Sierra Region,37.500000,-118.500000,,,,,,,,,,,,,
FKU,Southern Region RHQ,36.764098,-119.572045,,,,,,,,,,,,,
FNF,Fremont National Forest,42.500000,-120.500000,,,,,,,,,,,,,
FWR,Feather River Fire Protection District,39.500000,-121.500000,,,,,,,,,,,,,
FYA,Fort Yuma Area,32.738100,-114.624400,,,,,,,,,,,,,
GNP,Golden National Park,36.778300,-119.417900,,,,,,,,,,,,,
HIA,Hoopa Indian Area,41.135000,-123.672500,,,,,,,,,,,,,
HPR,High Plains Region,40.000000,-120.000000,,,,,,,,,,,,,
HTF,Humboldt-Toiyabe National Forest,39.500000,-119.500000,,,,,,,,,,,,,
HUU,Iaqua Butte LO,40.680972,-123.985437,,,,,,,,,,,,,
INF,Inyo National Forest,37.500000,-118.500000,,,,,,,,,,,,,
JTP,Joshua Tree National Park,33.873400,-115.901000,,,,,,,,,,,,,
KNF,Klamath National Forest,41.500000,-123.000000,,,,,,,,,,,,,
KNP,Kings Canyon National Park,36.800000,-118.700000,,,,,,,,,,,,,
